Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
MaiDao3_SV,400108,Word,100,ReadAndWrite,1,0,
MaiDao3_TT,400109,Word,100,ReadAndWrite,1,0,
MaiDao4_PV,400110,Word,100,ReadAndWrite,1,0,
MaiDao4_SV,400111,Word,100,ReadAndWrite,1,0,
MaiDao4_TT,400112,Word,100,ReadAndWrite,1,0,
MaiDao5_PV,400113,Word,100,ReadAndWrite,1,0,
MaiDao5_SV,400114,Word,100,ReadAndWrite,1,0,
MaiDao5_TT,400115,Word,100,ReadAndWrite,1,0,
Dao1_L,400116,Word,100,ReadAndWrite,1,0,
Dao1_R,400117,Word,100,ReadAndWrite,1,0,
Dao2_L,400118,Word,100,ReadAndWrite,1,0,
Dao2_R,400119,Word,100,ReadAndWrite,1,0,
Dao3_L,400120,Word,100,ReadAndWrite,1,0,
Dao3_R,400121,Word,100,ReadAndWrite,1,0,
Dao4_L,400122,Word,100,ReadAndWrite,1,0,
Dao4_R,400123,Word,100,ReadAndWrite,1,0,
Dao5_L,400124,Word,100,ReadAndWrite,1,0,
Dao5_R,400125,Word,100,ReadAndWrite,1,0,
Lang1_L,400126,Word,100,ReadAndWrite,1,0,
Lang1_R,400127,Word,100,ReadAndWrite,1,0,
Lang2_L,400128,Word,100,ReadAndWrite,1,0,
Lang2_R,400129,Word,100,ReadAndWrite,1,0,
Lang3_L,400130,Word,100,ReadAndWrite,1,0,
Lang3_R,400131,Word,100,ReadAndWrite,1,0,
Lang4_L,400132,Word,100,ReadAndWrite,1,0,
Lang4_R,400133,Word,100,ReadAndWrite,1,0,
Lang5_L,400134,Word,100,ReadAndWrite,1,0,
Lang5_R,400135,Word,100,ReadAndWrite,1,0,
Lang6_L,400136,Word,100,ReadAndWrite,1,0,
Lang6_R,400137,Word,100,ReadAndWrite,1,0,
Lang7_L,400138,Word,100,ReadAndWrite,1,0,
Lang7_R,400139,Word,100,ReadAndWrite,1,0,
Lang8_L,400140,Word,100,ReadAndWrite,1,0,
Lang8_R,400141,Word,100,ReadAndWrite,1,0,
KheHo_Inc,400142,Word,100,ReadAndWrite,1,0,
KheHo_Dec,400143,Word,100,ReadAndWrite,1,0,
TocDo,400144,Word,100,ReadAndWrite,1,0,
DoiDon,400145,Word,100,ReadAndWrite,1,0,
